date,username,content,reply_count,retweet_count,like_count,view_count,tweet_url,quote_of,total_engagement
2025-10-10 08:49:03+00:00,zombib0yy,i hate this corny bs,0,0,0,0,https://x.com/zombib0yy/status/1976570663206085039,https://x.com/IndoPopBase/status/1976564048780234777,0
2025-10-10 08:32:52+00:00,hisengitis,ih gw nangis...,0,0,0,10,https://x.com/hisengitis/status/1976566587802231079,https://x.com/IndoPopBase/status/1976564048780234777,0
2025-10-10 08:31:51+00:00,setiawandwi_n,,0,0,0,9,https://x.com/setiawandwi_n/status/1976566335778980052,https://x.com/IndoPopBase/status/1976564048780234777,0
2025-10-10 08:34:09+00:00,erlinnatawiria,I'm the target audience.,0,0,0,7,https://x.com/erlinnatawiria/status/1976566913137586223,https://x.com/IndoPopBase/status/1976551164960440600,0
2025-10-10 08:28:43+00:00,anchocolava,oh ada MV nya brb nanti nonton,0,0,0,6,https://x.com/anchocolava/status/1976565545903493298,https://x.com/IndoPopBase/status/1976551164960440600,0
2025-10-10 07:32:22+00:00,essedoublepip,Ih anjg cakep banget ninyuki kato,0,0,0,24,https://x.com/essedoublepip/status/1976551364282155387,https://x.com/IndoPopBase/status/1976551164960440600,0
2025-10-10 08:35:23+00:00,oyenwangee, next Monday,0,0,0,10,https://x.com/oyenwangee/status/1976567221309809106,https://x.com/IndoPopBase/status/1976536268361380248,0
2025-10-10 08:35:08+00:00,piscesavoo_,Bismillah rony paul masuk nominasi dan bawa pulang piala ami,0,0,0,23,https://x.com/piscesavoo_/status/1976567162035937664,https://x.com/IndoPopBase/status/1976536268361380248,0
2025-10-10 07:31:38+00:00,VornoxBlayze,"Not to be dramatic but ever since AMI stopped airing on TV, the quality’s been going downhill  The stage, sound, lighting, venue, and everything else just don’t hit the same anymore — please bring the broadcast era back, we miss when it actually felt like a real award show",0,0,0,13,https://x.com/VornoxBlayze/status/1976551181477716120,https://x.com/IndoPopBase/status/1976536268361380248,0
2025-10-10 06:38:38+00:00,QUEERAUSAHAAN,"Sakit Dadaku, mejikuhibiniu, Tabola Bale better be nominated",0,0,0,218,https://x.com/QUEERAUSAHAAN/status/1976537843645444120,https://x.com/IndoPopBase/status/1976536268361380248,0
2025-10-10 08:22:07+00:00,·,Break time of internet nuisance,0,0,0,7,https://x.com/folkingmad/status/1976563883390410873,https://x.com/IndoPopBase/status/1976188365889470543,0
